"model","parameter","term","estimate","std_error","true_value","intercept_includes_fitted_smooth_mean","scenario","n","d","rep"
"gamlss.longitudinal","sigma","intercept",-1.20829562586333,0.0384213843971768,-1.2028217868409,TRUE,"n500_d4",500,4,6
"gamlss.longitudinal","sigma","x1",0.178831896025349,0.0240416344325831,0.18,FALSE,"n500_d4",500,4,6
"gamlss.longitudinal","sigma","x2",0.0641138115042881,0.0477068260505399,0.12,FALSE,"n500_d4",500,4,6
"gamlss.longitudinal","sigma","t",0.212566078146553,0.0325072407712949,0.15,FALSE,"n500_d4",500,4,6
"gamlss.longitudinal","nu","intercept",-0.0747757057624313,0.0871228197931954,0,TRUE,"n500_d4",500,4,6
"gamlss.longitudinal","nu","x1",0.023024308235461,0.0504852721284445,0.1,FALSE,"n500_d4",500,4,6
"gamlss.longitudinal","nu","x2",0.108180684242532,0.0966801752275084,-0.08,FALSE,"n500_d4",500,4,6
"gamlss.longitudinal","nu","t",0.0650591942633532,0.097202796199672,0.12,FALSE,"n500_d4",500,4,6
"gamlss.longitudinal","tau","intercept",0.65785810253513,0.0949378017161854,0.5,TRUE,"n500_d4",500,4,6
"gamlss.longitudinal","tau","x1",-0.0315609878636548,0.0630024293245097,-0.08,FALSE,"n500_d4",500,4,6
