"study_id","scenario_id","method","attempted","successful","converged","convergence_not_reported","retained","parameter","term","n_metric","n_se","estimand_status","true_value_mean","mean_estimate","bias","bias_mcse","bias_ci_low","bias_ci_high","rmse","rmse_mcse","rmse_ci_low","rmse_ci_high","empirical_sd","empirical_sd_mcse","empirical_sd_ci_low","empirical_sd_ci_high","mean_se","mean_se_mcse","mean_se_ci_low","mean_se_ci_high","se_to_empirical_sd","coverage","coverage_mcse","coverage_ci_low","coverage_ci_high"
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"zeta","x1",100,100,"estimated",0.12,0.12395123006392,0.00395123006392015,0.0455776694902922,-0.0864847543525207,0.094387214480361,0.453509298559007,0.0400027323577598,0.365618516166467,0.526938771011583,0.455776694902922,0.0323906392838318,0.400175058100317,0.529464508408691,0.439967136792543,0.0318688902790869,0.376732344472531,0.503201929112555,0.965312930022132,0.98,0.014,0.929988209271456,0.994498032449838
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"zeta","x2",100,100,"estimated",-0.1,0.0235402783863502,0.12354027838635,0.089331101339668,-0.0537120071957032,0.300792563968403,0.897377691595363,0.0860326402766311,0.706334661889401,1.05435515276383,0.89331101339668,0.0634848493281762,0.784333184836954,1.03773729954508,0.958123428441001,0.124084316791841,0.71191322363661,1.20433363324539,1.07255302360807,0.99,0.0099498743710662,0.945513803821295,0.998232567935859
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"mu","intercept",100,99,"estimated",0.787552626245277,0.786875419946321,-0.000677206298956398,0.00183738075221341,-0.00432296833401685,0.00296855573610406,0.0182942461775055,0.00121377740867461,0.0157022228366671,0.0205620787955401,0.0252111918828428,0.00179168138986695,0.0221355990539265,0.0292872177667831,0.0136695232325277,9.79422255405039e-05,0.0134751600735204,0.013863886391535,0.542200594721995,0.808080808080808,0.0395793813902531,0.719596393856991,0.873549606788085
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"mu","t",100,100,"estimated",0.18,0.180712631950129,0.000712631950129287,0.00164106254125598,-0.00254359216284431,0.00396885606310289,0.0163439097055565,0.00118141588125834,0.0138020677740112,0.0185404879679143,0.0164106254125598,0.00116625236460045,0.0144086414495862,0.0190638174656798,0.0195125766509917,0.000109139556448922,0.0192960200929971,0.0197291332089863,1.18902090325319,0.97,0.017058722109232,0.915480635709472,0.989745475975961
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"mu","x1",100,98,"estimated",0.12,0.121864885628509,0.0018648856285089,0.00110412884373788,-0.000325945539971314,0.0040557167969891,0.0111431031701784,0.000853516143389771,0.00929654204015145,0.0127244568692803,0.0110412884373788,0.000784670201446025,0.00969432683009718,0.0128263915642735,0.00733874262213646,7.00938947415648e-05,0.00719962564404486,0.00747785960022807,0.66466360912121,0.846938775510204,0.0363701893582351,0.762711324751455,0.904993171898807
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"mu","x2",100,100,"estimated",-0.1,-0.1001420594033,-0.000142059403299541,0.00227726959917518,-0.00466065634531533,0.00437653753871625,0.0226589917423412,0.00153432477123025,0.0193768504246969,0.0255224897135427,0.0227726959917518,0.00161838503293,0.0199945829690593,0.026454477429965,0.014953355756992,7.26492172239129e-05,0.0148092039486569,0.0150975075653272,0.656635286503105,0.8,0.04,0.711170834406841,0.866633066668967
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"nu","intercept",100,100,"estimated",0,-0.00702781554380087,-0.00702781554380087,0.0148215205471474,-0.0364369278617372,0.0223812967741354,0.147639628328371,0.0103794729564975,0.12536405506027,0.166969378643884,0.148215205471474,0.0105331959937708,0.130133964996896,0.17217793665462,0.113260572560425,0.000623553921071883,0.112023306300006,0.114497838820844,0.764162976397338,0.85,0.0357071421427143,0.767164404091676,0.906940147163434
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"nu","t",100,100,"estimated",0.12,0.126182825784012,0.00618282578401221,0.0135757417686974,-0.020754391163797,0.0331200427318214,0.135218353144611,0.00894200544491679,0.116127849064905,0.151928696189496,0.135757417686974,0.00964785956715025,0.119195942043516,0.157706032849654,0.138358661956354,0.000702822500145364,0.136964109637609,0.139753214275099,1.01916097340167,0.97,0.017058722109232,0.915480635709472,0.989745475975961
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"nu","x1",100,100,"estimated",0.1,0.0943500088794828,-0.00564999112051719,0.0086464542840202,-0.0228064322819871,0.0115064500409527,0.0862164624450656,0.00634807247317517,0.0725349665819606,0.0980063029403552,0.0864645428402021,0.00614476749096382,0.0759164604984136,0.100443719877824,0.0559162504151459,0.000607795884489687,0.054710251518037,0.0571222493122548,0.646695727270386,0.85,0.0357071421427143,0.767164404091676,0.906940147163434
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"nu","x2",100,100,"estimated",-0.08,-0.0676002228494585,0.0123997771505415,0.0167967214757274,-0.0209285623326724,0.0457281166337554,0.167584634899403,0.0116400950185408,0.142630226732761,0.189277146351305,0.167967214757274,0.0119369101701691,0.147476364360308,0.195123357084283,0.108630667029311,0.000558960256317848,0.107521568613462,0.10973976544516,0.646737324223008,0.82,0.0384187454245971,0.733326416136993,0.882997745010536
