"rep","engine","success","logLik","df","converged","iter","mu_irmse","sigma_irmse","theta_irmse","elapsed_sec","error"
92,"ours_rs_joint",TRUE,-4062.83823563809,NA,TRUE,8,0.0911846886813847,0.133401779801076,0.0367719889258121,334.042258024216,NA
93,"gamlss",TRUE,-4380.37156694251,21.0000001219715,TRUE,5,0.088354167740079,0.149435232859028,NA,0.773371934890747,NA
93,"ours_rs_joint",TRUE,-3929.33785100714,NA,TRUE,7,0.0780624380595177,0.119117734114278,0.0335920184962294,458.66313290596,NA
94,"gamlss",TRUE,-4518.49302255956,21.0000000339605,TRUE,4,0.0340925257966162,0.111920400365671,NA,0.649016857147217,NA
94,"ours_rs_joint",TRUE,-4160.3245017175,NA,TRUE,8,0.0387176330986793,0.110407217855549,0.0623199887081707,359.000715970993,NA
95,"gamlss",TRUE,-4361.30729423816,21.0000135136245,TRUE,6,0.133886980952306,0.119664645874941,NA,0.781968832015991,NA
95,"ours_rs_joint",TRUE,-4021.27742260934,NA,TRUE,6,0.136556448066654,0.087735261013109,0.0876428599121809,367.677369117737,NA
96,"gamlss",TRUE,-4394.39844509336,21.0000127815398,TRUE,4,0.116095057716959,0.167449270781455,NA,0.66579794883728,NA
96,"ours_rs_joint",TRUE,-3951.02152312446,NA,TRUE,6,0.107788317855762,0.0838355978687637,0.0557455192613044,418.29349899292,NA
97,"gamlss",TRUE,-4342.74130602643,21.000040042947,TRUE,4,0.0673307111338693,0.224310590863362,NA,0.712680101394653,NA
97,"ours_rs_joint",TRUE,-3975.43665163597,NA,TRUE,6,0.048816314534697,0.203954546904863,0.0756020865937114,322.623638868332,NA
98,"gamlss",TRUE,-4502.08802190038,21.0000023942943,TRUE,4,0.0884836797878919,0.192538118629358,NA,0.650417804718018,NA
98,"ours_rs_joint",TRUE,-4125.46830528715,NA,TRUE,5,0.0849894030885307,0.0966417146046332,0.0687205705781898,311.153809070587,NA
