"scenario","n","d","rep","model","test_log_score_joint","test_log_score_marginal","test_log_score_copula","test_log_score_per_obs","predictive_nsim","variogram_score","variogram_p"
"n500_d4_nbi_signal2",500,4,32,"ours_rs_joint",-4332.48762929915,-4922.73603601818,590.248406719033,-2.16624381464958,100,5215.9210158,2
"n500_d4_nbi_signal2",500,4,33,"gamlss",-4550.22682892815,-4550.22682892815,0,-2.27511341446407,100,4.84227608305975,0.5
"n500_d4_nbi_signal2",500,4,33,"gamlss",-4550.22682892815,-4550.22682892815,0,-2.27511341446407,100,9248.1641994,2
"n500_d4_nbi_signal2",500,4,33,"ours_rs_joint",-4434.73421374967,-4990.54457762621,555.810363876534,-2.21736710687484,100,4.16892340939325,0.5
"n500_d4_nbi_signal2",500,4,33,"ours_rs_joint",-4434.73421374967,-4990.54457762621,555.810363876534,-2.21736710687484,100,7113.533334,2
"n500_d4_nbi_signal2",500,4,34,"gamlss",-4534.41324120827,-4534.41324120827,0,-2.26720662060413,100,5.26536946879472,0.5
"n500_d4_nbi_signal2",500,4,34,"gamlss",-4534.41324120827,-4534.41324120827,0,-2.26720662060413,100,8753.1456844,2
"n500_d4_nbi_signal2",500,4,34,"ours_rs_joint",-4303.30176927285,-4948.24849027471,644.94672100186,-2.15165088463643,100,4.23182911751081,0.5
"n500_d4_nbi_signal2",500,4,34,"ours_rs_joint",-4303.30176927285,-4948.24849027471,644.94672100186,-2.15165088463643,100,5270.320355,2
"n500_d4_nbi_signal2",500,4,35,"gamlss",-4599.54665102282,-4599.54665102282,0,-2.29977332551141,100,5.82661970979481,0.5
"n500_d4_nbi_signal2",500,4,35,"gamlss",-4599.54665102282,-4599.54665102282,0,-2.29977332551141,100,11553.9067712,2
"n500_d4_nbi_signal2",500,4,35,"ours_rs_joint",-4380.80070088315,-4998.50016533839,617.699464455237,-2.19040035044158,100,4.68655649609687,0.5
"n500_d4_nbi_signal2",500,4,35,"ours_rs_joint",-4380.80070088315,-4998.50016533839,617.699464455237,-2.19040035044158,100,7993.1843326,2
"n500_d4_nbi_signal2",500,4,36,"gamlss",-4579.2706794083,-4579.2706794083,0,-2.28963533970415,100,4.76414575821836,0.5
"n500_d4_nbi_signal2",500,4,36,"gamlss",-4579.2706794083,-4579.2706794083,0,-2.28963533970415,100,7013.6679432,2
"n500_d4_nbi_signal2",500,4,36,"ours_rs_joint",-4369.61800858795,-5050.28104075899,680.663032171037,-2.18480900429397,100,3.87775182691045,0.5
"n500_d4_nbi_signal2",500,4,36,"ours_rs_joint",-4369.61800858795,-5050.28104075899,680.663032171037,-2.18480900429397,100,4530.3883054,2
"n500_d4_nbi_signal2",500,4,37,"gamlss",-4487.03932034308,-4487.03932034308,0,-2.24351966017154,100,4.6603474465729,0.5
"n500_d4_nbi_signal2",500,4,37,"gamlss",-4487.03932034308,-4487.03932034308,0,-2.24351966017154,100,7314.8325582,2
"n500_d4_nbi_signal2",500,4,37,"ours_rs_joint",-4366.40436398457,-4940.32320554826,573.918841563685,-2.18320218199229,100,3.99172732486951,0.5
"n500_d4_nbi_signal2",500,4,37,"ours_rs_joint",-4366.40436398457,-4940.32320554826,573.918841563685,-2.18320218199229,100,5905.3700346,2
"n500_d4_nbi_signal2",500,4,38,"gamlss",-4488.99688207357,-4488.99688207357,0,-2.24449844103678,100,4.99763231603793,0.5
"n500_d4_nbi_signal2",500,4,38,"gamlss",-4488.99688207357,-4488.99688207357,0,-2.24449844103678,100,7588.939457,2
"n500_d4_nbi_signal2",500,4,38,"ours_rs_joint",-4304.39972021941,-4960.58919740449,656.189477185079,-2.1521998601097,100,4.08549193292648,0.5
"n500_d4_nbi_signal2",500,4,38,"ours_rs_joint",-4304.39972021941,-4960.58919740449,656.189477185079,-2.1521998601097,100,5213.2516818,2
"n500_d4_nbi_signal2",500,4,39,"gamlss",-4445.99027390003,-4445.99027390003,0,-2.22299513695001,100,5.02091768400964,0.5
"n500_d4_nbi_signal2",500,4,39,"gamlss",-4445.99027390003,-4445.99027390003,0,-2.22299513695001,100,8634.0172184,2
"n500_d4_nbi_signal2",500,4,39,"ours_rs_joint",-4319.39102459602,-4978.02141774895,658.630393152938,-2.15969551229801,100,4.08034095837283,0.5
"n500_d4_nbi_signal2",500,4,39,"ours_rs_joint",-4319.39102459602,-4978.02141774895,658.630393152938,-2.15969551229801,100,6210.2075932,2
"n500_d4_nbi_signal2",500,4,40,"gamlss",-4487.90441056954,-4487.90441056954,0,-2.24395220528477,100,4.84306795444203,0.5
"n500_d4_nbi_signal2",500,4,40,"gamlss",-4487.90441056954,-4487.90441056954,0,-2.24395220528477,100,6309.8042272,2
"n500_d4_nbi_signal2",500,4,40,"ours_rs_joint",-4199.30415237183,-4817.27065898875,617.966506616923,-2.09965207618591,100,4.094936933455,0.5
"n500_d4_nbi_signal2",500,4,40,"ours_rs_joint",-4199.30415237183,-4817.27065898875,617.966506616923,-2.09965207618591,100,4898.62176,2
"n500_d4_nbi_signal2",500,4,41,"gamlss",-4540.70411937161,-4540.70411937161,0,-2.27035205968581,100,5.15058471996061,0.5
"n500_d4_nbi_signal2",500,4,41,"gamlss",-4540.70411937161,-4540.70411937161,0,-2.27035205968581,100,8968.492081,2
"n500_d4_nbi_signal2",500,4,41,"ours_rs_joint",-4412.30217837398,-5136.77134590737,724.469167533387,-2.20615108918699,100,4.34498938304822,0.5
"n500_d4_nbi_signal2",500,4,41,"ours_rs_joint",-4412.30217837398,-5136.77134590737,724.469167533387,-2.20615108918699,100,7562.7862822,2
"n500_d4_nbi_signal2",500,4,42,"gamlss",-4450.37466102752,-4450.37466102752,0,-2.22518733051376,100,5.02761534775256,0.5
