"scenario","n","d","rep","model","parameter","s1","smooth_hat","smooth_true"
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0102552948519588,-0.129802153412414,0.0608935481786827
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0120018552988768,-0.119075234921541,0.0669144487352045
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0171755172777921,-0.0875880955610632,0.0847174988807339
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0185032049193978,-0.0795787223509101,0.0892768527605303
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0187618103809655,-0.0780220992665591,0.0901644117288057
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.021225716220215,-0.0632478425666146,0.0986118759774496
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0224105231463909,-0.0561803327211316,0.102667852769734
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0237517869099975,-0.0482088361974477,0.107254257589208
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0249419112224132,-0.0411618923262987,0.111318993549262
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0269093560054898,-0.0295671015159676,0.118027945583515
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0305517374072224,-0.0082846174168126,0.130410307735529
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0309613454155624,-0.00590637129014945,0.13179946203686
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0341145272832364,0.0122975462400833,0.142468973799473
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0395369939506054,0.0431633152312201,0.160707407761883
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0415208358317614,0.0543136572065903,0.167341944247316
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0483950558118522,0.0923432926895404,0.190154272974726
