"scenario","model","n","d","parameter","s1","smooth_true","smooth_median","smooth_q05","smooth_q95","bias","rmse","missing_mechanism","target_missing_rate","observed_missing_rate","complete_adjacent_pair_rate","missing_label"
"n500_d4_mar_miss00","gamlss2",500,4,"mu",0.73,-0.545663085722963,-0.548491096108306,-0.628573599806794,-0.499481398004876,-0.00731897359846864,0.03776036682112,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"mu",0.71,-0.532720738620747,-0.525965434638361,-0.617701706423957,-0.499498127516258,-0.00812334052271111,0.0394298198984937,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.87,0.197203834748904,0.145505142504688,0.094335471355865,0.189603085200497,-0.0526532927571619,0.0634467336693252,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.85,0.169615278658039,0.118239279341186,0.0690241193697538,0.157546711954969,-0.0512896911119691,0.0619675463082961,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"mu",0.67,-0.481968674024125,-0.479005653214223,-0.558703952695815,-0.430463851355606,-0.00763319794793214,0.0406965887737565,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.32,0.159713005294007,0.145037233055411,0.120728856325141,0.184704432261721,-0.00918798676853737,0.0292889934124479,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.3,0.14876803279044,0.131968585086168,0.106144660886329,0.176245010318297,-0.0112017861961246,0.0298223365116122,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.28,0.135900998357306,0.119143544100797,0.0913423327155081,0.165730738039675,-0.012705789785302,0.0305570054535172,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"mu",0.63,-0.400932745081776,-0.412430667233165,-0.451632866713403,-0.34203037203199,-0.00607021556115701,0.0370902130000506,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"mu",0.61,-0.350583194361779,-0.362901367275855,-0.396529774664528,-0.292697636409667,-0.00545309677478081,0.0342423139344665,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"mu",0.43,0.23417861036079,0.231680028765006,0.202068188534997,0.265796436820822,0.00246286747743256,0.0229158560448401,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.75,-0.000720297029703023,-0.0280160765428171,-0.0685963081051835,0.0636679836188909,-0.0184449840908237,0.0422204686303199,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.73,-0.0373602670989943,-0.0523205825642286,-0.0943845002524507,0.0364224027822349,-0.00952464292617381,0.0386451031739708,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.71,-0.0734872631791595,-0.0785739638436791,-0.11875230742517,-0.00776931174267041,-0.000583617363472289,0.036437719802805,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"sigma",0.87,0.197203834748904,0.174919368198134,-0.00198113476159697,0.28790385636885,-0.0211940468692409,0.0869632409126481,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"sigma",0.85,0.169615278658039,0.151191168112378,-0.00190111187583296,0.24508381028182,-0.0199481909949696,0.0782334405024478,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.67,-0.141886399260218,-0.128514251502279,-0.162153513787351,-0.0860754073014501,0.0166135159578889,0.0375553189941005,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"mu",0.33,0.481968674024125,0.476313018600955,0.432371154189213,0.511964351851621,-0.007880485225479,0.0274749850838252,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"mu",0.31,0.511377067238538,0.502564390160688,0.459991033054691,0.538365572610646,-0.0103324004465541,0.027181120416686,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"mu",0.29,0.532720738620747,0.521770630259747,0.484925701842627,0.555270977950003,-0.0124685285683956,0.0264059862200294,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.63,-0.20152442880831,-0.18026979001971,-0.201613470472325,-0.110530225026241,0.0316964810189368,0.0447999738263527,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.61,-0.22683426986244,-0.199509106924195,-0.234779480029683,-0.121327018050602,0.0381023871833198,0.0494339462771922,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"mu",0.43,0.23417861036079,0.235962805664763,0.197563300912243,0.269694913646301,0.00501433912307516,0.028924726212982,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"sigma",0.75,-0.000720297029703023,-0.0237667989523106,-0.123249061312869,0.134980534536976,-0.0125074608425822,0.0799098801887083,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"sigma",0.73,-0.0373602670989943,-0.0532131349783928,-0.13405520639435,0.0858231592332608,-0.00617856690089417,0.0770362106435272,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"sigma",0.71,-0.0734872631791595,-0.0730407778326013,-0.161239732681125,0.02077025065574,0.0012976639292972,0.0778221867970106,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.87,-0.197252672035138,-0.214746493860696,-0.261072991309332,-0.168407387506295,-0.018051010764805,0.0376775423459581,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.85,-0.170666816341098,-0.186373619941942,-0.230925124467994,-0.134191377724969,-0.015985452469232,0.0357690047765077,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"sigma",0.67,-0.141886399260218,-0.122810512744273,-0.242292193373867,0.000678574027743505,0.0161908908091001,0.0905984784930492,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"mu",0.33,0.481968674024125,0.482032677710785,0.425562989341996,0.519160910569531,-0.00100338532109042,0.0306587324013077,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"mu",0.31,0.511377067238538,0.511822158274643,0.452552564116842,0.546650435160417,-0.00335551743799187,0.0291444142759744,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"mu",0.29,0.532720738620747,0.53123667436305,0.480696892812859,0.567630729881064,-0.00537371791869239,0.0275071879553397,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"sigma",0.63,-0.20152442880831,-0.184487222033151,-0.320650671937214,-0.0051161923767216,0.0264620208979815,0.0988379927437895,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"sigma",0.61,-0.22683426986244,-0.200862599071538,-0.315851769658384,-0.004394229269086,0.0294861624520897,0.0986335508848715,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.43,-0.266408412769509,-0.217367044097083,-0.304650067741729,-0.166671684982849,0.0452651584151369,0.0592122192081569,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.75,-0.0422920829117761,-0.0484543638644912,-0.0961767867216513,0.00751417106069596,-0.0041724109977946,0.034262714554602,"mar",0,0,1,"0%"
