"artifact_id","artifact_type","manuscript_path","manuscript_label","producer","profiles","input_bundle","access","publication_status","verification","approved_sha256","generated_path"
"p2_mvt_dependence_recovery","data","evidence/multivariate/dependence-recovery.csv","phase2:mvt-dependence-recovery","module_09_multivariate_benchmark","paper|full","multivariate-benchmark","public","active","canonical_sha256","","data/multivariate-benchmark/dependence_recovery_by_rep.csv"
"p2_mvt_variogram_scores","data","evidence/multivariate/variogram-scores.csv","phase2:mvt-variogram-scores","module_09_multivariate_benchmark","paper|full","multivariate-benchmark","public","active","canonical_sha256","","data/multivariate-benchmark/variogram_scores_by_rep.csv"
"p2_mvt_runtime","data","evidence/multivariate/runtime.csv","phase2:mvt-runtime","module_09_multivariate_benchmark","paper|full","multivariate-benchmark","public","active","canonical_sha256","","data/multivariate-benchmark/runtime_by_rep.csv"
"p2_mvt_gee_family","table","tables/phase2-mvt-gee-family.csv","phase2:mvt-gee-family","module_09_multivariate_benchmark","paper|full","multivariate-benchmark","public","active","canonical_sha256","","data/multivariate-benchmark/gee_family_results.csv"
"p2_mvt_gee_stress","table","tables/phase2-mvt-gee-stress.csv","phase2:mvt-gee-stress","module_09_multivariate_benchmark","paper|full","multivariate-benchmark","public","active","canonical_sha256","","data/multivariate-benchmark/gee_unstructured_stress_test.csv"
"p2_mvt_neighbors","table","tables/phase2-mvt-neighbors.csv","phase2:mvt-neighbors","module_09_multivariate_benchmark","paper|full","multivariate-benchmark","public","active","canonical_sha256","","data/multivariate-benchmark/nearest_neighbor_results.csv"
"p2_mvt_neighbor_contrasts","table","tables/phase2-mvt-neighbor-contrasts.csv","phase2:mvt-neighbor-contrasts","module_09_multivariate_benchmark","paper|full","multivariate-benchmark","public","active","canonical_sha256","","data/multivariate-benchmark/nearest_neighbor_paired_contrasts.csv"
"p2_mvt_capabilities","audit","evidence/multivariate/capability-snapshot.csv","phase2:mvt-capabilities","module_09_multivariate_benchmark","paper|full","multivariate-benchmark","public","active","canonical_sha256","","data/multivariate-benchmark/capability_snapshot_2026-09-01.csv"
"p2_mvt_scope","audit","evidence/multivariate/comparator-scope.csv","phase2:mvt-scope","module_09_multivariate_benchmark","paper|full","multivariate-benchmark","public","active","canonical_sha256","","data/multivariate-benchmark/comparator_scope_registry.csv"
"p2_mvt_reconciliation","audit","evidence/multivariate/attempt-reconciliation.csv","phase2:mvt-reconciliation","module_09_multivariate_benchmark","paper|full","multivariate-benchmark","public","active","canonical_sha256","","data/multivariate-benchmark/phase2_attempt_reconciliation.csv"
"p2_mvt_audit_csv","audit","evidence/multivariate/benchmark-audit.csv","phase2:mvt-audit-csv","module_09_multivariate_benchmark","paper|full","multivariate-benchmark","public","active","canonical_sha256","","data/multivariate-benchmark/phase2_benchmark_audit.csv"
